,Predict Non-Frail,Predict Frail,Predict Hospital_los<=10,Predict Hospital_los>10,Predict Rehabiliation,Predict Death
gender,95(53.7%),9(37.5%),1(25.0%),103(52.3%),62(47.0%),42(60.9%)
comorb<=2,33(18.6%),5(20.8%),1(25.0%),37(18.8%),24(18.2%),14(20.3%)
comorb>2,112(63.3%),17(70.8%),3(75.0%),126(64.0%),98(74.2%),31(44.9%)
home,57(32.2%),3(12.5%),0(0.0%),60(30.5%),58(43.9%),2(2.9%)
nursing home,1(0.6%),2(8.3%),0(0.0%),3(1.5%),3(2.3%),0(0.0%)
other,7(4.0%),0(0.0%),1(25.0%),6(3.0%),7(5.3%),0(0.0%)
cvd,30(16.9%),15(62.5%),1(25.0%),44(22.3%),22(16.7%),23(33.3%)
htn,83(46.9%),13(54.2%),1(25.0%),95(48.2%),43(32.6%),53(76.8%)
dm,70(39.5%),10(41.7%),2(50.0%),78(39.6%),41(31.1%),39(56.5%)
cva,4(2.3%),12(50.0%),1(25.0%),15(7.6%),11(8.3%),5(7.2%)
resp,36(20.3%),1(4.2%),1(25.0%),36(18.3%),28(21.2%),9(13.0%)
ckd,15(8.5%),3(12.5%),0(0.0%),18(9.1%),4(3.0%),14(20.3%)
obesity,57(32.2%),4(16.7%),0(0.0%),61(31.0%),47(35.6%),14(20.3%)
dementia,0(0.0%),5(20.8%),0(0.0%),5(2.5%),4(3.0%),1(1.4%)
cancer,11(6.2%),6(25.0%),0(0.0%),17(8.6%),11(8.3%),6(8.7%)
smoker,30(16.9%),2(8.3%),0(0.0%),32(16.2%),20(15.2%),12(17.4%)
other_comorbidities,9(5.1%),4(16.7%),1(25.0%),12(6.1%),5(3.8%),8(11.6%)
Sx_resp,153(86.4%),21(87.5%),2(50.0%),172(87.3%),114(86.4%),60(87.0%)
Sx_sputum,8(4.5%),0(0.0%),0(0.0%),8(4.1%),7(5.3%),1(1.4%)
Sx_fever,99(55.9%),11(45.8%),1(25.0%),109(55.3%),82(62.1%),28(40.6%)
Sx_lethargymyalgia,48(27.1%),7(29.2%),0(0.0%),55(27.9%),30(22.7%),25(36.2%)
Delirium,10(5.6%),10(41.7%),1(25.0%),19(9.6%),14(10.6%),6(8.7%)
Sx_gi,13(7.3%),1(4.2%),0(0.0%),14(7.1%),6(4.5%),8(11.6%)
radiology,124(70.1%),17(70.8%),1(25.0%),140(71.1%),89(67.4%),52(75.4%)
suppo2,98(55.4%),17(70.8%),3(75.0%),112(56.9%),59(44.7%),56(81.2%)
cpap,42(23.7%),5(20.8%),2(50.0%),45(22.8%),30(22.7%),17(24.6%)
imv,91(51.4%),8(33.3%),1(25.0%),98(49.7%),33(25.0%),66(95.7%)
dialysis,31(17.5%),3(12.5%),0(0.0%),34(17.3%),1(0.8%),33(47.8%)
vasopressors,70(39.5%),6(25.0%),0(0.0%),76(38.6%),14(10.6%),62(89.9%)
